,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequent,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
213,261.4803284,35378.571,358.81873,499.63367,12694494,18.05102,802.27169,123.5153804,119.4688795,205.4272348,70.18291809,89.72521286,5.896122165,2.0056243,1.195247368,3.84230674,6.95432577,42.86051838,39.35182166,189.4272348,0.031126053,0.327005767,0.349053804,14.44956767,0.686286524,0.536812222,0.521812891,0.422626967,0.348119026,0.520339321,0.458079541,0.405359522
214,278.8731866,28588.535,440.71031,499.6385,12599262,9.142315,723.34828,120.3690929,125.7375415,177.3469471,104.0082505,100.3017164,4.230354458,1.025177943,1.325433641,2.905464726,2.273228251,34.80067757,29.16157881,161.3469471,0.026218993,0.233886817,0.199718251,27.39810356,0.719335678,0.745917897,0.465882783,0.521464906,0.479829362,0.399163725,0.436942957,0.364273214
215,238.7864915,34825.554,323.10318,499.64165,11252247,10.838383,859.99756,108.7948052,112.8087364,205.8240757,66.25782078,79.10162716,7.146127061,1.272861189,2.383260187,11.30650025,8.183785267,40.43331122,33.59765414,189.8240757,0.037646052,0.404444784,0.382472065,13.16901877,0.662530168,0.554954515,0.569422178,0.613806237,0.687193382,0.456662817,0.455109652,0.355634241
216,263.9196471,28181.541,411.57321,499.64124,11598767,4.660186,756.25598,111.0987648,116.0315202,173.1046229,99.88854947,100.617154,3.978405007,1.066470438,0.967631834,2.833236156,3.250490004,28.68633943,29.06275243,157.1046229,0.025323284,0.274462817,0.24224916,31.85660669,0.762483241,0.75696183,0.509937302,0.56319201,0.474318072,0.56813832,0.379510679,0.37747862
217,196.7345462,27849.183,271.32493,499.64883,7556177.5,0.40622999,999.78158,89.09999712,85.09655374,177.1482634,72.1992763,81.12930627,6.696956937,1.238794549,1.845656622,8.479725079,8.185026837,28.81680968,24.30154351,161.1482634,0.041557736,0.423119175,0.449039599,18.53455202,0.824759127,0.733976596,0.4694364,0.574994902,0.605955729,0.520697819,0.409144998,0.347630957
218,269.2260722,31038.459,405.46447,499.63128,12584992,15.008388,765.02846,123.5630813,124.6484859,188.3074525,103.7334845,85.62983503,4.091834409,0.82523817,0.927948345,3.689608384,2.919249305,39.72667484,29.88520629,172.3074525,0.023747286,0.265448223,0.258995762,19.92910045,0.636118444,0.770605043,0.444944895,0.431277392,0.546732032,0.474165522,0.44963761,0.351973345
219,253.2189906,31977.344,368.06368,499.66348,11769699,6.9494313,802.76361,110.4783926,116.8650006,190.8632002,91.53925193,84.14093361,5.190514774,1.596459392,1.549797055,3.4479046,4.090019841,25.34494787,28.91914764,174.8632002,0.029683288,0.348873436,0.311232681,19.48898936,0.664570484,0.723004635,0.469477876,0.547981873,0.34486272,0.455123337,0.299325827,0.338096693
220,226.4465078,33819.599,310.45863,499.66864,10499586,5.7341211,892.45681,101.1880559,105.1556393,202.812169,73.37920772,70.95238132,4.946002536,0.759547681,1.32495587,8.376506362,5.329793812,32.42021155,30.7863565,186.812169,0.026475805,0.443612532,0.42179658,16.1352292,0.62665909,0.648093083,0.425128911,0.471967835,0.638773114,0.432410077,0.37694205,0.350205866
221,264.1655168,37034.592,351.20263,499.65952,13006646,22.081467,800.42325,120.2016325,123.6301903,211.0476888,80.63211845,71.38909789,6.09922295,1.266161997,1.500355199,7.211969085,6.453885196,46.33532023,45.58729683,195.0476888,0.031270419,0.363839066,0.345693601,16.90513623,0.540487636,0.610466646,0.417604268,0.496546595,0.502893048,0.50459593,0.468998033,0.465883896
222,225.6961655,28004.202,330.78176,499.68539,9263279.3,1.4572956,874.4283,103.1418721,104.935506,174.9044353,84.2481866,89.21073851,8.212483057,1.264037062,1.89164519,7.591739525,6.853883167,29.36668426,26.81452555,158.9044353,0.0516819,0.315544921,0.303642269,15.82515359,0.790538362,0.746562853,0.345730561,0.457424998,0.554807796,0.496446871,0.396189491,0.354038771
223,282.0811037,34477.807,399.05623,499.68022,13758584,20.245836,748.97237,121.4322181,132.0543412,199.5285068,92.58382172,87.81761156,5.350953514,1.113720733,1.852070043,5.238477418,3.237883207,50.18494634,37.38595614,183.5285068,0.02915598,0.318476341,0.258860958,17.97242131,0.622640868,0.656434057,0.445673796,0.553423954,0.532988015,0.374585025,0.549956245,0.40009072
224,204.1799875,30954.967,276.08021,499.65754,8546053.7,1.8335215,969.39366,92.06533023,83.91601569,192.8669491,70.84414363,70.43423273,5.538983355,1.141937939,1.688003249,7.713298016,6.57716199,27.9501773,26.12716664,176.8669491,0.031317232,0.46263688,0.510202463,20.04932706,0.68992298,0.693938172,0.438017541,0.526124692,0.529325208,0.42076535,0.357887219,0.360737105
225,248.3475159,35450.105,339.05975,499.65611,12019704,12.784668,834.02933,114.6407991,116.2933223,206.8461001,80.1106187,71.37191484,5.725682321,1.201068847,1.531323371,7.538561201,5.838614978,48.14598365,35.43414923,190.8461001,0.030001568,0.380723096,0.371796349,15.76087126,0.574774542,0.645149346,0.466381263,0.502998744,0.550220601,0.46829253,0.508278422,0.379960333
226,253.1102769,28293.986,394.26843,499.62151,11155425,3.9305641,784.50996,114.1152353,115.6225029,175.7170188,99.03788709,93.7512417,4.519683733,1.012247092,1.252362581,3.495880965,2.857991356,29.66962614,23.24692896,159.7170188,0.028298072,0.264708797,0.254996854,21.86527108,0.74079364,0.782567095,0.452948407,0.484660866,0.505541605,0.428279082,0.378153256,0.298354979
227,217.3980889,28233.085,315.40759,499.65575,8904929.4,0.77871952,910.89481,94.67307905,97.91409755,174.8001388,85.36215736,86.39309177,4.797227407,1.119624078,1.432052368,4.716357577,3.996591169,29.74350961,30.87493471,158.8001388,0.030209214,0.385251368,0.364206192,21.56989383,0.79479164,0.785307339,0.483695177,0.54221217,0.517485724,0.449446748,0.412209707,0.417986244
228,276.7215912,32260.707,408.80712,499.67766,13188407,14.573078,748.77893,117.1551015,130.0003527,190.9834872,93.73250987,96.38825137,4.250717151,1.008386367,1.216322422,3.632136684,2.882826832,34.06245705,39.52864634,174.9834872,0.024292104,0.313810105,0.238574103,16.72088592,0.69664424,0.67744992,0.476978967,0.515343717,0.502646098,0.444748782,0.400674759,0.443063207
229,246.0994139,32447.042,346.98839,499.64179,11258747,7.040027,826.90783,106.173288,110.0422075,192.8402823,89.49444303,76.85865664,6.140700771,1.273784299,2.00285623,5.647770699,4.598967149,32.04199839,24.95127061,176.8402823,0.034724559,0.378010847,0.355345768,26.01499885,0.624614707,0.727303179,0.363108398,0.541019924,0.428729678,0.397137068,0.378264442,0.298406047
230,206.1324968,28388.387,287.14858,499.65259,8151684.9,0.61446089,957.69666,92.058236,93.73669544,178.5959601,80.73362822,76.80206591,8.05152228,1.398108712,2.67924669,10.14430593,6.40827442,33.4880668,24.01781058,162.5959601,0.049518588,0.404325142,0.393464451,18.65910593,0.745171839,0.783317812,0.433219421,0.551791163,0.599174793,0.396940779,0.459158733,0.329114582
231,264.3799821,31813.256,382.79121,499.65184,12177835,8.7676279,775.48672,108.2926105,121.7124327,188.6623683,95.87365391,86.0323839,6.224753713,1.484087275,1.633969782,5.99072529,4.639899095,34.98615268,37.41176437,172.6623683,0.036051595,0.349350141,0.268720397,20.95511665,0.650823737,0.725271658,0.487710354,0.499787256,0.511150367,0.474785546,0.425459618,0.440884682
232,246.7142513,37563.203,315.07137,499.66386,11835090,1.42E-06,841.62057,114.0561233,113.4863754,216.3967124,73.22708041,55.0488872,6.863447766,1.612714454,1.833281392,9.811767563,6.669665823,36.91893272,36.32214005,200.3967124,0.034249303,0.410663983,0.41360791,18.60200471,0.446256241,0.593618569,0.42470251,0.429043592,0.446738669,0.377434031,0.365083405,0.379446865
