,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r,distance_499.8
69,260.5711249,26946.137,422.31452,499.67219,11379745,3.5632917,758.70325,117.1193293,119.1536522,169.8613506,101.7609788,101.5600649,3.788013489,0.7656351,1.035896026,2.640751427,2.473000341,36.00689982,28.56783732,153.8613506,0.024619656,0.219586027,0.206030502,22.26382052,0.77951895,0.781061055,0.40973968,0.529927596,0.506710019,0.483954359,0.476153573,0.376068696,
70,191.1509137,30269.853,257.72073,499.61593,7801168.6,0.94839366,1028.4812,88.90272396,81.15201457,193.8205907,58.09080331,75.02907412,4.661376474,0.997859204,1.380771411,5.869965608,6.33722989,38.99936374,17.93482591,177.8205907,0.02621393,0.486583926,0.53134452,13.3454658,0.785024488,0.607800425,0.411212318,0.488215018,0.47941821,0.3932686,0.517340873,0.245744815,
71,257.1427643,29862.491,389.60245,499.69956,11634500,6.1115554,785.82139,112.7099126,118.3941217,181.1469827,91.33721885,98.4721675,5.002380246,1.018623747,1.357903168,4.115407749,3.84605447,38.5387565,30.9855893,165.1469827,0.030290473,0.296199117,0.260704889,20.35452094,0.765894913,0.710400848,0.421475259,0.536379187,0.516868883,0.493918825,0.486911894,0.377102461,
72,199.9576042,26383.256,288.87814,499.67678,7621546.1,0.33822065,981.94506,90.50301433,91.69180659,167.5758171,81.1736446,86.01961234,3.905104287,0.80526257,0.752459319,3.459962299,4.188149637,29.81689323,26.15932833,151.5758171,0.025763373,0.387129563,0.379079272,16.57399103,0.860378505,0.811908553,0.392775864,0.4411047,0.474999056,0.563173775,0.435565016,0.373962853,
73,277.4778566,26167.11,458.70074,499.68654,12002873,6.4773647,713.55788,116.7822422,122.7046415,166.783423,108.6456493,105.1253178,2.934773275,0.592926539,0.831292373,1.989071599,1.81728539,34.42070773,27.86988422,150.783423,0.019463501,0.210123039,0.170065863,32.06857356,0.757720411,0.783094195,0.409346239,0.557902316,0.50644503,0.492283735,0.464745438,0.373762545,
74,248.3904169,28064.505,387.84607,499.63108,10884708,2.7586229,801.68408,113.0795921,113.7610504,173.6464144,94.17786679,99.38621144,4.267513176,0.796369447,1.255423426,3.166714334,3.126160544,38.28169527,29.8101298,157.6464144,0.027070157,0.262743499,0.258300526,20.8683162,0.800241915,0.758305155,0.37310855,0.572967788,0.499845111,0.486565377,0.500787016,0.384554487,
75,280.866793,27499.173,460.16234,499.64413,12654084,8.6235386,713.25905,125.9884589,128.0896204,174.3868257,104.6738714,105.443057,3.56933062,0.656165372,1.079936935,2.542807368,2.141883878,37.38454302,30.84601029,158.3868257,0.022535527,0.186213039,0.172641178,24.68755214,0.750840325,0.745363097,0.402945783,0.566705372,0.543774123,0.466106926,0.474592812,0.389820085,
76,292.2488485,26674.242,477.66868,499.62186,12741450,12.216408,686.16445,121.2332589,128.9371479,170.8700992,110.309058,105.8584617,3.185015482,0.560150742,0.82394088,2.387273654,1.953400811,34.21462803,27.7866254,154.8700992,0.020565722,0.200756885,0.149968179,34.37455263,0.724440574,0.754898153,0.403663975,0.517115016,0.56431423,0.499738185,0.447234153,0.361082588,
77,227.6486834,27631.27,338.38193,499.62028,9349922.6,1.1721415,869.06522,104.2266636,100.5897253,171.5172633,86.32288954,93.21988677,6.181923197,1.203219437,1.774564932,4.933830533,5.249496817,32.69298031,31.07767031,155.5172633,0.03975072,0.302062971,0.326417142,19.1953563,0.818980241,0.758386899,0.389610218,0.569205334,0.500436275,0.495687969,0.446216088,0.424215357,
78,260.4351523,29618.826,401.54887,499.67899,11893406,6.3519903,774.67795,112.4774944,121.785809,180.2846407,94.62513756,99.40402154,4.002471999,0.764800294,1.148655583,3.303421087,2.806583244,37.20558621,31.27488027,164.2846407,0.024363032,0.298253228,0.24017868,16.86353434,0.763368698,0.726669474,0.39718395,0.543274127,0.518908091,0.471746354,0.471215056,0.379607387,
79,215.5303541,28196.981,307.98766,499.6678,8684322,0.98650416,918.05766,97.31235888,82.82610996,173.9423944,83.4871256,88.00418438,3.354189435,0.674162934,0.966706232,3.433102283,2.878842387,34.88992034,15.12616617,157.9423944,0.02123679,0.370505927,0.464214557,20.90563631,0.816629145,0.77471339,0.451733736,0.475616168,0.555066855,0.394031119,0.476316423,0.227712636,
80,287.2096296,25879.875,476.48134,499.66886,12331278,9.072126,690.13964,121.7438256,125.517667,167.0193131,106.7612744,110.3938931,3.219375282,0.6461605,0.913807739,2.121788016,1.881634871,34.6225791,26.43241154,151.0193131,0.02131764,0.17629312,0.150759676,36.1742955,0.768733926,0.743437987,0.419560503,0.540742434,0.521618691,0.475080418,0.466487437,0.352203327,
81,240.6587274,29184.761,362.93551,499.68095,10592186,2.8791522,831.93381,110.570517,109.9863914,178.8058365,87.92814264,95.80162606,4.838988282,0.83497157,1.375939011,4.185669776,3.933106791,36.73942325,32.83221754,162.8058365,0.02972245,0.300039734,0.303737508,19.51769331,0.796161661,0.730728892,0.372775744,0.549359519,0.537118875,0.482407518,0.470306379,0.41313552,
82,197.6346972,26159.453,286.98329,499.68141,7507325.9,0.46132681,993.56076,89.67059171,90.86504185,166.7923076,79.3870162,86.49927246,4.069488167,0.897957827,1.193424365,3.223898363,3.520235221,32.25006746,24.18138862,150.7923076,0.026987372,0.388843589,0.380702728,15.90461354,0.875345004,0.803371243,0.384749984,0.532286548,0.426494563,0.449053258,0.476319916,0.347216461,
