,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r,shunt_impedance_divide_delta
1077,253.3329109,33075.521,360.27124,496.71134,11916159,7.8310155,808.09669,115.7770791,113.9511801,196.1640571,84.95959336,86.00490128,5.934790517,1.283414837,1.743322315,5.877497385,4.478682638,33.76155136,37.60488207,180.1640571,0.032941035,0.335490062,0.345969926,21.77875277,0.678987195,0.67073475,0.45464167,0.481453015,0.524344609,0.389875613,0.383529073,0.429741899,0.251513105
1078,231.9715618,31050.2,333.6645,497.93946,10360349,2.8597489,865.60313,107.495036,104.0868108,188.6975231,84.27702538,83.43483951,5.624677677,1.156050107,1.724009247,5.644307569,3.979634457,32.98678424,32.51809333,172.6975231,0.032569533,0.356597802,0.376997438,16.9814899,0.719354035,0.726615148,0.425097861,0.474846662,0.516507102,0.354511423,0.399016382,0.401996989,0.348623507
1079,275.6021896,32557.98,401.62528,500.01501,13076108,13.759985,751.13118,127.284053,116.3822442,192.110355,89.35770883,95.65886292,5.390088065,1.17143994,1.597533683,4.231603636,3.528266955,34.77835606,33.33705978,176.110355,0.03060631,0.254429159,0.31828689,21.03408351,0.694180718,0.648454274,0.439707788,0.469005924,0.505734829,0.368060017,0.394283489,0.386601663,0.176573078
1080,207.0396284,29357.104,287.27715,498.28728,8433625.2,0.78360937,955.70683,95.09181194,91.08204427,183.9396761,75.37114138,79.39495606,6.833691763,1.474403666,2.076662508,7.691943454,5.693860681,26.98304091,32.41628632,167.9396761,0.040691348,0.409756178,0.434645183,16.85600453,0.766954198,0.728084203,0.457065668,0.477212405,0.527956072,0.363206222,0.356429605,0.436326426,0.46973899
1081,265.5238757,31516.972,391.61604,499.59224,12342552,8.7460698,770.55749,121.9505195,113.7631542,188.0132109,89.09386822,96.13817519,5.562374823,1.165619752,1.683305054,4.443837732,3.545758413,36.04011561,33.21310038,172.0132109,0.032336905,0.267348111,0.316536,21.62283669,0.72413959,0.671079902,0.428139924,0.475527999,0.510547084,0.363605403,0.424632372,0.39659426,0.222557842
1082,242.52868,30651.645,355.37852,499.08962,10892936,3.7632012,830.06712,111.8042554,107.155743,185.3154094,89.45228939,87.43212358,5.498521214,1.18302909,1.656731782,4.946744319,3.529251535,31.7284622,33.65290034,169.3154094,0.032475019,0.317504705,0.345880976,18.92016922,0.721004407,0.737663598,0.440539035,0.465853346,0.511611845,0.353219259,0.384973248,0.419863361,0.314237958
1083,217.9817701,30431.933,308.55421,501.38302,9389901.1,2.4494131,915.90765,101.1920355,95.52480322,186.628778,82.46153033,75.85890842,6.164462381,1.30079648,1.872349664,6.814452469,4.778914135,28.65093493,34.15981485,170.628778,0.036127917,0.384717377,0.419176112,15.5976991,0.696011491,0.75659107,0.437305768,0.4763338,0.517464866,0.362352956,0.355397901,0.448638883,0.409770484
1084,265.8377839,33220.745,381.57052,497.9133,12676057,11.230882,776.98415,121.2862488,118.3598666,195.5957254,87.36027049,90.74471635,5.470443036,1.26591107,1.612998787,4.67550606,3.745345658,37.25486826,35.52103968,179.5957254,0.030459762,0.303454116,0.320260303,23.26528627,0.682707439,0.65724495,0.45494947,0.471930732,0.491351774,0.375211134,0.418767317,0.400498993,0.202771058
1085,187.0624606,27263.082,255.61124,498.65903,6968750.1,0.62755599,1049.7444,86.31640358,82.64645948,176.6543231,77.89276452,71.31196485,5.634300051,1.345422148,1.768848274,7.149860013,4.367339352,29.67674237,31.71496582,160.6543231,0.035070952,0.443191906,0.466865907,14.42965346,0.762440146,0.832799529,0.518584582,0.474141372,0.539532481,0.337870773,0.418264199,0.470448572,0.56174421
1086,271.4450152,30767.849,406.16002,499.73119,12496670,9.5175267,752.19017,124.4705382,115.4685432,184.9169187,95.61034677,95.79822727,5.699259637,1.298393151,1.676600953,4.307858477,3.426626644,34.63034551,33.85150106,168.9169187,0.033740017,0.237395396,0.292548711,22.50393876,0.705838913,0.704454614,0.464581814,0.46827499,0.509628108,0.371782105,0.411785228,0.414068274,0.212866659
